Archivo Origen;ID Interseccion;Direccion;Zona;Version;Fecha;PS;Ciclo;Grupo de Senales;TVI;TVF;TFD;RES;Pagina
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;4;100;22;14;51;37;30;11
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;4;100;294;67;4;37;30;11
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;4;100;31;16;48;32;25;11
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;4;100;35;70;4;34;27;11
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;5;90;1A;67;18;41;36;12
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;5;90;1B;67;18;41;33;12
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;5;90;2A;67;18;41;36;12
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;5;90;2B;67;18;41;33;12
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;5;90;5;26;59;33;28;12
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;5;90;94;24;63;39;34;12
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;5;90;22;27;51;24;17;12
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;5;90;294;67;17;40;33;12
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;5;90;31;29;48;19;12;12
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;5;90;35;70;18;38;31;12
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;6;90;1A;71;22;41;36;13
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;6;90;1B;71;22;41;33;13
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;6;90;2A;71;22;41;36;13
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;6;90;2B;71;22;41;33;13
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;6;90;5;30;62;32;27;13
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;6;90;94;28;67;39;34;13
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;6;90;22;31;55;24;17;13
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;6;90;294;71;21;40;33;13
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;6;90;31;33;52;19;12;13
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;6;90;35;73;22;39;32;13
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;7;75;1A;1;28;27;22;14
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;7;75;1B;1;28;27;19;14
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;7;75;2A;1;28;27;22;14
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;7;75;2B;1;28;27;19;14
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;7;75;5;36;67;31;26;14
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;7;75;94;34;72;38;33;14
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;7;75;22;37;60;23;16;14
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;7;75;294;1;27;26;19;14
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;7;75;31;39;57;18;11;14
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;7;75;35;3;28;25;18;14
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;8;60;1A;8;23;15;10;15
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;8;60;1B;8;23;15;7;15
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;8;60;2A;8;23;15;10;15
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;8;60;2B;8;23;15;7;15
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;8;60;5;31;59;28;23;15
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;8;60;94;29;4;35;30;15
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;8;60;22;32;52;20;13;15
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;8;60;294;8;22;14;7;15
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;8;60;31;34;49;15;8;15
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;8;60;35;10;23;13;6;15
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;9;100;1A;89;33;44;39;16
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;9;100;1B;89;33;44;36;16
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;9;100;2A;89;33;44;39;16
