size_in_MB,id,name,creation,last_modification,type_of_file,date,mes,Estado,num
"0,68",1nKAWTeyLO29uV4eojfaaJbgGRo7fsfcu,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250614_250614.csv,2026-03-03T16:28:32.761Z,2025-06-15T05:15:42.774Z,text/csv,2025-06-14,2506,Procesado,316490
"0,68",1uw4sFSBAk1YvOHRFmOb3EX5PeEFVAjUO,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250613_250613.csv,2026-03-03T16:28:55.073Z,2025-06-14T05:15:50.351Z,text/csv,2025-06-13,2506,Procesado,314659
"0,68",1ifpUT373V4caQqGAMjQXNw9385k3WaoG,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250612_250612.csv,2026-03-03T16:28:06.196Z,2025-06-13T05:17:51.702Z,text/csv,2025-06-12,2506,Procesado,312637
"0,68",1ZSbInU4KLQevxzQVjolKI_CTn1g0aTmO,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250611_250611.csv,2026-03-03T16:28:29.328Z,2025-06-12T05:15:16.537Z,text/csv,2025-06-11,2506,Procesado,302062
"0,68",1LUnuUdBMajhj4xvzUVq4Vu3daHy4r8H3,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250610_250610.csv,2026-03-03T16:28:33.200Z,2025-06-11T05:20:45.483Z,text/csv,2025-06-10,2506,Procesado,302062
"0,68",1oWPc9e8s9X5PK21swHq3jlgVyvqev4p5,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250609_250609.csv,2026-03-03T16:29:15.426Z,2025-06-10T05:15:15.883Z,text/csv,2025-06-09,2506,Procesado,302062
"0,68",1-byDdcN7yGtIuOkgwFdW_JYbptupm-Gr,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250608_250608.csv,2026-03-03T16:29:17.396Z,2025-06-09T05:24:56.732Z,text/csv,2025-06-08,2506,Procesado,302062
"0,6",1Daw_AIfdEcfjlZi2TIcul7YritLfkzTd,Detector-Measurement Point-Traffic Data - Processed-250608_250608.csv,2026-03-03T16:29:20.807Z,2025-06-09T19:52:21.310Z,text/csv,2025-06-08,2506,Procesado,302062
"0,68",1xwek5L7WuJNk5WvBGrkEKSS2pcEmuQqu,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250607_250607.csv,2026-03-03T16:28:08.373Z,2025-06-08T05:15:18.090Z,text/csv,2025-06-07,2506,Procesado,303966
"0,68",1cI51GZHGju66QoEJYrQRqSAzortkx_9-,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250606_250606.csv,2026-03-03T16:29:35.885Z,2025-06-07T05:15:06.295Z,text/csv,2025-06-06,2506,Procesado,307711
"0,68",1zFh0d9joDIJKTOyIfEns1i2cB4nHHruR,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250605_250605.csv,2026-03-03T16:28:58.473Z,2025-06-06T05:24:38.930Z,text/csv,2025-06-05,2506,Procesado,309852
"0,68",1EL_dBkH4I1cvuvtk-Cupfh7zYprMo1RJ,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250604_250604.csv,2026-03-03T16:28:00.637Z,2025-06-05T05:24:46.340Z,text/csv,2025-06-04,2506,Procesado,309923
"0,68",1T3_M84xJ4hOm2jGBT82WQADHrIQXD8xV,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250603_250603.csv,2026-03-03T16:29:19.539Z,2025-06-04T05:36:13.640Z,text/csv,2025-06-03,2506,Procesado,305497
"0,68",1YtAAMK8kmxuZbDo4NEIHOKE9PIn2hEtk,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250602_250602.csv,2026-03-03T16:29:38.358Z,2025-06-03T05:25:00.431Z,text/csv,2025-06-02,2506,Procesado,302622
"0,68",12VmtDNq_OvcVyxhnD90Q4-Def4WXmaPW,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250601_250601.csv,2026-03-03T16:28:50.040Z,2025-06-02T05:18:12.566Z,text/csv,2025-06-01,2506,Procesado,303736
"0,68",12V2I1XzVQj9m0hIjUXWcEFmnOk8Etvug,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250531_250531.csv,2026-03-03T16:28:45.917Z,2025-06-01T05:15:56.206Z,text/csv,2025-05-31,2505,Procesado,301945
"0,68",17yKalDDu2WCQLizSnSmCIbVXUJbMLEhB,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250530_250530.csv,2026-03-03T16:29:26.303Z,2025-05-31T05:25:24.788Z,text/csv,2025-05-30,2505,Procesado,267976
"0,68",12q_2IekKGURVRinQAHRSrW4p78Mt0lvc,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250529_250529.csv,2026-03-03T16:29:44.267Z,2025-05-30T05:15:30.437Z,text/csv,2025-05-29,2505,Procesado,269874
"0,68",1d3x_TIWz37hTrbYB1eOLEwTVDfc4MqXh,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250528_250528.csv,2026-03-03T16:28:06.498Z,2025-05-29T05:27:28.427Z,text/csv,2025-05-28,2505,Procesado,271843
"0,68",1f4C4340zKQMozIQQhR64yYar_DQVkT-m,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250527_250527.csv,2026-03-03T16:28:45.218Z,2025-05-28T05:26:51.524Z,text/csv,2025-05-27,2505,Procesado,274204
"0,6",1V3nxlP0w-bpor1Cog9bRgOC4BSML_qQo,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250526_250526.csv,2026-03-03T16:27:38.100Z,2025-05-27T05:14:04.849Z,text/csv,2025-05-26,2505,Procesado,272979
"0,68",16nEPn_8FmWIXnQla3cLdM2nK3IN8VYjX,Detector-Measurement Point-Traffic Data - Processed-250526_250526.csv,2026-03-03T16:29:16.755Z,2025-05-27T21:05:41.704Z,text/csv,2025-05-26,2505,Procesado,288994
"0,6",1ytwOw0LTc1pGE7eOyh0ZJMlQOImOkL2C,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250525_250525.csv,2026-03-03T16:29:39.414Z,2025-05-26T05:13:38.520Z,text/csv,2025-05-25,2505,Procesado,290630
"0,6",1EeEXIvYSvCCiS_su1eQDyLkMvQOKSE8K,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250524_250524.csv,2026-03-03T16:29:48.238Z,2025-05-25T05:14:19.299Z,text/csv,2025-05-24,2505,Procesado,292520
"0,6",1fOQ6snA9GDbd3JYP0i9RJuft6eDyamtm,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250523_250523.csv,2026-03-03T16:29:18.907Z,2025-05-24T05:13:56.934Z,text/csv,2025-05-23,2505,Procesado,294073
"0,6",1ravPvNJ8HL-wAj4r5gZ-tmQsCw1P60Qs,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250522_250522.csv,2026-03-03T16:29:24.546Z,2025-05-23T05:14:08.529Z,text/csv,2025-05-22,2505,Procesado,294473
"0,63",13Sx76WhnQorv1XouRrc8AIrOaXXXeTuz,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250521_250521.csv,2026-03-03T16:29:10.169Z,2025-05-22T05:14:58.748Z,text/csv,2025-05-21,2505,Procesado,291610
"0,63",1DBaRcoi39txwapMBIXM4asUw45n2G0M2,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250520_250520.csv,2026-03-03T16:28:23.508Z,2025-05-21T05:14:15.500Z,text/csv,2025-05-20,2505,Procesado,292350
"0,63",1PEbHELtDLGpV_RAJPH9CtOwcLhlmp15I,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250519_250519.csv,2026-03-03T16:28:22.821Z,2025-05-20T05:14:35.960Z,text/csv,2025-05-19,2505,Procesado,293414
"0,63",1xduc3KAHC_Hec16acrFmSdqIp6HxztIF,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250518_250518.csv,2026-03-03T16:28:16.130Z,2025-05-19T05:14:48.528Z,text/csv,2025-05-18,2505,Procesado,292277
"0,63",12nlpFDbD_3TgG7CdUVw7qC147H-0q8uI,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250517_250517.csv,2026-03-03T16:27:58.410Z,2025-05-18T05:14:24.178Z,text/csv,2025-05-17,2505,Procesado,293397
"0,63",1iK79J96RzBpxXacCVpIgNqb331iu79x6,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250516_250516.csv,2026-03-03T16:27:42.992Z,2025-05-17T05:14:52.079Z,text/csv,2025-05-16,2505,Procesado,294846
"0,63",1BldrBP4C9IR066Sg6ZDIqxiOppf8otGl,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250515_250515.csv,2026-03-03T16:27:50.755Z,2025-05-16T05:15:11.618Z,text/csv,2025-05-15,2505,Procesado,292951
"0,63",192MFzrIojHWyZ72ypMFePmwSFvW-Al5I,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250514_250514.csv,2026-03-03T16:27:50.241Z,2025-05-15T05:14:41.903Z,text/csv,2025-05-14,2505,Procesado,289170
"0,63",1MxJgNDZITGudNKfmjLd8w0_UgLF2naKD,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250513_250513.csv,2026-03-03T16:28:27.955Z,2025-05-14T05:18:24.929Z,text/csv,2025-05-13,2505,Procesado,286137
